# Time    Second_Integral_Real    Second_Integral_Imag
-73.599360000000004 0.000874950709779 -0.009576585756427
-73.400019999999998 0.000795091280878 -0.009569270657631
-73.200670000000002 0.000714619690481 -0.009560787517630
-72.999430000000004 0.000633539451281 -0.009551129343102
-72.800079999999994 0.000551854131913 -0.009540289188098
-72.600740000000002 0.000469567356226 -0.009528260162050
-72.399490000000000 0.000386682803538 -0.009515035424393
-72.200140000000005 0.000303204208102 -0.009500608188927
-72.000799999999998 0.000219135359142 -0.009484971722029
-71.799549999999996 0.000134480100305 -0.009468119346915
-71.600200000000001 0.000049242329908 -0.009450044438525
-71.400850000000005 -0.000036573999842 -0.009430740431058
-71.199600000000004 -0.000122964882611 -0.009410200812954
-71.000249999999994 -0.000209926258507 -0.009388419131026
-70.800899999999999 -0.000297454014076 -0.009365388988779
-70.599649999999997 -0.000385543982879 -0.009341104050461
-70.400300000000001 -0.000474191945273 -0.009315558036276
-70.200940000000003 -0.000563393629231 -0.009288744729491
-69.999690000000001 -0.000653144710128 -0.009260657971694
-69.800330000000002 -0.000743440811338 -0.009231291666837
-69.599080000000001 -0.000834277504253 -0.009200639779305
-69.399720000000002 -0.000925650308837 -0.009168696337328
-69.200360000000003 -0.001017554693660 -0.009135455431048
-68.999110000000002 -0.001109986076509 -0.009100911216432
-68.799750000000003 -0.001202939824204 -0.009065057910858
-68.600380000000001 -0.001296411253463 -0.009027889799646
-68.399119999999996 -0.001390395630736 -0.008989401231739
-68.199759999999998 -0.001484888172816 -0.008949586623481
-68.000389999999996 -0.001579884046945 -0.008908440456976
-67.799130000000005 -0.001675378371435 -0.008865957283794
-67.599760000000003 -0.001771366215515 -0.008822131720878
-67.400390000000002 -0.001867842600237 -0.008776958456623
-67.199110000000005 -0.001964802498327 -0.008730432246850
-66.999740000000003 -0.002062240834821 -0.008682547918475
-66.800370000000001 -0.002160152487215 -0.008633300367814
-66.599090000000004 -0.002258532286106 -0.008582684564183
-66.399709999999999 -0.002357375015058 -0.008530695546100
-66.200329999999994 -0.002456675411548 -0.008477328426890
-66.000950000000003 -0.002556428166869 -0.008422578391107
-65.799660000000003 -0.002656627926836 -0.008366440698432
-65.600269999999995 -0.002757269291697 -0.008308910680234
