# Time    cumulative_phase    amplitude    omega
-83.799189999999996 1.676139762266199 0.000004923157846 -0.000853618321206
-83.599890000000002 1.675970936755620 0.000004929520586 -0.000846080896123
-83.400589999999994 1.675802802088509 0.000004935859830 -0.000846609240891
-83.199389999999994 1.675633766159343 0.000004942235306 -0.000843141636695
-83.000090000000000 1.675467012500279 0.000004948526482 -0.000835707631777
-82.800780000000003 1.675300937237911 0.000004954793394 -0.000836238102928
-82.599580000000003 1.675133972313407 0.000004961094910 -0.000832806187267
-82.400270000000006 1.674969263845770 0.000004967311805 -0.000829363849733
-82.199070000000006 1.674803669866612 0.000004973562159 -0.000825962485502
-81.999759999999995 1.674640316026294 0.000004979727879 -0.000818660254783
-81.800439999999995 1.674477630233542 0.000004985867628 -0.000819177883683
-81.599230000000006 1.674314070242339 0.000004992039089 -0.000815816711099
